ID_Cliente,Desercion,Genero,Genero_Codigo,Adulto_Mayor,Tiene_Pareja,Dependientes,Meses_Permanencia,Servicio_Telefonico,Lineas_Multiples,Tipo_Internet,Tipo_Internet_Codigo,Seguridad_Online,Respaldo_Online,Proteccion_Dispositivo,Soporte_Tecnico,Streaming_TV,Streaming_Peliculas,Tipo_Contrato,Tipo_Contrato_Codigo,Factura_Digital,Metodo_Pago,Metodo_Pago_Codigo,Cargos_Mensuales,Cargos_Totales,tiene_streaming,categoria_servicio,Perfil_Servicio,AnnualCharges,Estado_Cliente
0002-ORFBO,0,Female,0,0,1,1,9,1,0,DSL,1,0,1,0,1,1,0,One year,1,1,Mailed check,1,65.6,593.3,1,Internet con Streaming,Solo Streaming Tv,787.1999999999999,Leales
0003-MKNFE,0,Male,1,0,0,0,9,1,1,DSL,1,0,0,0,0,0,1,Month-to-month,0,0,Mailed check,1,59.9,542.4,1,Internet con Streaming,Solo Streaming Movie,718.8,Leales
0004-TLHLJ,1,Male,1,0,0,0,4,1,0,Fiber optic,2,0,0,1,0,0,0,Month-to-month,0,1,Electronic check,0,73.9,280.85,0,Internet sin Streaming,Solo Internet,886.8000000000001,Fuga
0011-IGKFF,1,Male,1,1,1,0,13,1,0,Fiber optic,2,0,1,1,0,1,1,Month-to-month,0,1,Electronic check,0,98.0,1237.85,1,Internet con Streaming,Ambos streaming,1176.0,Fuga
0013-EXCHZ,1,Female,0,1,1,0,3,1,0,Fiber optic,2,0,0,0,1,1,0,Month-to-month,0,1,Mailed check,1,83.9,267.4,1,Internet con Streaming,Solo Streaming Tv,1006.8000000000001,Fuga
0013-MHZWF,0,Female,0,0,0,1,9,1,0,DSL,1,0,0,0,1,1,1,Month-to-month,0,1,Credit card (automatic),3,69.4,571.45,1,Internet con Streaming,Ambos streaming,832.8000000000001,Leales
0013-SMEOE,0,Female,0,1,1,0,71,1,0,Fiber optic,2,1,1,1,1,1,1,Two year,2,1,Bank transfer (automatic),2,109.7,7904.25,1,Internet con Streaming,Ambos streaming,1316.4,Leales
0014-BMAQU,0,Male,1,0,1,0,63,1,1,Fiber optic,2,1,0,0,1,0,0,Two year,2,1,Credit card (automatic),3,84.65,5377.8,0,Internet sin Streaming,Solo Internet,1015.8000000000001,Leales
0015-UOCOJ,0,Female,0,1,0,0,7,1,0,DSL,1,1,0,0,0,0,0,Month-to-month,0,1,Electronic check,0,48.2,340.35,0,Internet sin Streaming,Solo Internet,578.4000000000001,Leales
0016-QLJIS,0,Female,0,0,1,1,65,1,1,DSL,1,1,1,1,1,1,1,Two year,2,1,Mailed check,1,90.45,5957.9,1,Internet con Streaming,Ambos streaming,1085.4,Leales
0017-DINOC,0,Male,1,0,0,0,54,0,0,DSL,1,1,0,0,1,1,0,Two year,2,0,Credit card (automatic),3,45.2,2460.55,1,Internet con Streaming,Solo Streaming Tv,542.4000000000001,Leales
0017-IUDMW,0,Female,0,0,1,1,72,1,1,Fiber optic,2,1,1,1,1,1,1,Two year,2,1,Credit card (automatic),3,116.8,8456.75,1,Internet con Streaming,Ambos streaming,1401.6,Leales
0018-NYROU,0,Female,0,0,1,0,5,1,0,Fiber optic,2,0,0,0,0,0,0,Month-to-month,0,1,Electronic check,0,68.95,351.5,0,Internet sin Streaming,Solo Internet,827.4000000000001,Leales
0019-EFAEP,0,Female,0,0,0,0,72,1,1,Fiber optic,2,1,1,1,0,1,0,Two year,2,1,Bank transfer (automatic),2,101.3,7261.25,1,Internet con Streaming,Solo Streaming Tv,1215.6,Leales
0019-GFNTW,0,Female,0,0,0,0,56,0,0,DSL,1,1,1,1,1,0,0,Two year,2,0,Bank transfer (automatic),2,45.05,2560.1,0,Internet sin Streaming,Solo Internet,540.5999999999999,Leales
0020-INWCK,0,Female,0,0,1,1,71,1,1,Fiber optic,2,0,1,1,0,0,1,Two year,2,1,Credit card (automatic),3,95.75,6849.4,1,Internet con Streaming,Solo Streaming Movie,1149.0,Leales
0020-JDNXP,0,Female,0,0,1,1,34,0,0,DSL,1,1,0,1,1,1,1,One year,1,0,Mailed check,1,61.25,1993.2,1,Internet con Streaming,Ambos streaming,735.0,Leales
0021-IKXGC,0,Female,0,1,0,0,1,1,1,Fiber optic,2,0,0,0,0,0,0,Month-to-month,0,1,Electronic check,0,72.1,72.1,0,Internet sin Streaming,Solo Internet,865.1999999999999,Leales
0022-TCJCI,1,Male,1,1,0,0,45,1,0,DSL,1,1,0,1,0,0,1,One year,1,0,Credit card (automatic),3,62.7,2791.5,1,Internet con Streaming,Solo Streaming Movie,752.4000000000001,Fuga
0023-HGHWL,1,Male,1,1,0,0,1,0,0,DSL,1,0,0,0,0,0,0,Month-to-month,0,1,Electronic check,0,25.1,25.1,0,Internet sin Streaming,Solo Internet,301.20000000000005,Fuga
0023-UYUPN,0,Female,0,1,1,0,50,1,1,0,0,0,0,0,0,0,0,One year,1,0,Electronic check,0,25.2,1306.3,0,Sin Internet,Sin Internet,302.4,Leales
0023-XUOPT,1,Female,0,0,1,0,13,1,1,Fiber optic,2,0,1,1,0,1,0,Month-to-month,0,0,Electronic check,0,94.1,1215.6,1,Internet con Streaming,Solo Streaming Tv,1129.1999999999998,Fuga
